year,pr,tas
1981,672.685,10.144317
1982,875.24023,9.703817
1983,799.4011,9.116126
1984,794.7967,9.68605
1985,564.33704,10.267979
1986,790.27747,8.950986
1987,719.15424,9.701575
1988,712.95276,9.689021
1989,884.9329,9.585263
1990,790.84033,9.888042
1991,794.9846,10.175306
1992,926.86414,9.987388
1993,808.33,9.347576
1994,702.7591,9.5550375
1995,701.5564,9.500372
1996,616.2881,10.759679
1997,949.9745,9.435331
1998,677.1056,10.49024
1999,753.2018,10.195963
2000,760.677,10.541325
2001,783.1682,10.419226
2002,586.00775,11.089401
2003,712.0965,10.448339
2004,920.52563,9.542616
2005,833.6295,9.703158
2006,792.5082,9.630107
2007,613.917,10.15316
2008,794.11176,9.972894
2009,655.7052,10.749612
2010,891.6101,9.705477
2011,755.8773,10.956339
2012,645.9403,9.313994
2013,771.0687,10.070628
2014,859.12494,10.015629
2015,797.21686,10.297125
2016,944.6625,9.962649
2017,851.59094,11.080547
2018,601.27783,12.10412
2019,543.28906,11.746614
2020,670.79047,11.131994
2021,963.0841,11.157535
2022,850.4319,11.0295725
2023,640.182,11.491099
2024,887.6355,10.941066
2025,727.574,11.395281
2026,662.88617,12.422932
2027,940.1844,11.475336
2028,799.6786,10.969909
2029,831.0624,10.541264
2030,999.48724,11.494151
2031,841.9773,11.283126
2032,715.869,11.803092
2033,977.08093,11.329825
2034,670.902,12.445142
2035,869.0874,12.061055
2036,643.161,11.450076
2037,752.88916,11.632395
2038,641.4391,11.898531
2039,658.6161,12.100179
2040,965.1384,11.82382
2041,790.65265,12.157635
2042,883.53625,12.864608
2043,713.1373,12.432949
2044,716.4324,11.507909
2045,659.7492,11.330671
2046,750.7315,11.487741
2047,653.1984,12.962289
2048,672.7211,12.674712
2049,739.22864,12.014108
2050,836.83826,11.793052
2051,811.9794,12.197146
2052,725.3066,12.497012
2053,784.0427,13.650677
2054,777.4196,12.460513
2055,818.8668,12.88484
2056,529.156,13.244811
2057,767.08374,12.850082
2058,859.56946,12.908003
2059,583.7096,13.512598
2060,676.6362,13.559709
2061,738.0499,13.31614
2062,810.40796,13.297451
2063,688.3052,12.886144
2064,573.84796,13.395281
2065,777.0109,12.73664
2066,696.1642,12.6757
2067,787.129,13.103217
2068,544.5056,13.766788
2069,653.56714,13.558874
2070,635.75525,12.930493
2071,756.5862,13.203417
2072,716.8809,13.387788
2073,856.71594,13.2199955
2074,782.59875,13.573863
2075,672.206,13.1554575
2076,695.31256,13.841981
2077,616.0099,14.355458
2078,771.3454,13.373806
2079,609.33636,14.654618
2080,614.6643,14.520095
